Latitude,Longitude,Month,Susceptibility_N,Rainfall_0,Rainfall_1,Rainfall_2,Rainfall_3,Rainfall_4,Rainfall_5,Rainfall_6,Rainfall_7,Rainfall_8,Rainfall_9,Rainfall_10,Rainfall_11,Rainfall_12,Rainfall_13,Rainfall_14,Rainfall_15,Rainfall_16,Rainfall_17,Rainfall_18,Rainfall_19,Rainfall_20,Rainfall_21,Rainfall_22,Rainfall_23,Rainfall_24,Rainfall_25,Rainfall_26,Rainfall_27,Rainfall_28,Rainfall_29,Rainfall_30,Class
32.229277,77.188773,8,2,1.9,1,0.2,0.5,0.2,7,0,0,4.9,6.4,0,0,0,0,4.9,4.9,0,0,0,0,9.8,19.7,0.2,0.1,0.5,0,3.1,2.9,4.3,0,0,Y
32.082666,77.12716,8,2,7.2,42.9,15.2,4,7.4,4.9,9,1.2,0.2,28.1,9.5,8,0.8,3.1,0,2.4,20.4,0,0,0,2.6,8.6,11.8,4.1,2.8,11,0.6,12.7,5.8,7.9,0.3,Y
32.080655,77.127806,8,2,7.2,42.9,15.2,4,7.4,4.9,9,1.2,0.2,28.1,9.5,8,0.8,3.1,0,2.4,20.4,0,0,0,2.6,8.6,11.8,4.1,2.8,11,0.6,12.7,5.8,7.9,0.3,Y
32.229277,77.188773,8,2,4.9,0,0,0,0,9.8,19.7,0.2,0.1,0.5,0,3.1,2.9,4.3,0,0,0.7,0.1,4.9,4.9,9.8,0,10,11.5,14.8,0,0,0,0,0,0,N
32.229277,77.188773,8,2,4.9,0,0,0,0,9.8,19.7,0.2,0.1,0.5,0,3.1,2.9,4.3,0,0,0.7,0.1,4.9,4.9,9.8,0,10,11.5,14.8,0,0,0,0,0,0,N
32.229277,77.188773,8,2,4.9,4.9,0,0,0,0,9.8,19.7,0.2,0.1,0.5,0,3.1,2.9,4.3,0,0,0.7,0.1,4.9,4.9,9.8,0,10,11.5,14.8,0,0,0,0,0,N
32.229277,77.188773,8,2,0,4.9,4.9,0,0,0,0,9.8,19.7,0.2,0.1,0.5,0,3.1,2.9,4.3,0,0,0.7,0.1,4.9,4.9,9.8,0,10,11.5,14.8,0,0,0,0,N
32.229277,77.188773,8,2,0,0,4.9,4.9,0,0,0,0,9.8,19.7,0.2,0.1,0.5,0,3.1,2.9,4.3,0,0,0.7,0.1,4.9,4.9,9.8,0,10,11.5,14.8,0,0,0,N
32.229277,77.188773,8,2,0,0,0,4.9,4.9,0,0,0,0,9.8,19.7,0.2,0.1,0.5,0,3.1,2.9,4.3,0,0,0.7,0.1,4.9,4.9,9.8,0,10,11.5,14.8,0,0,N
32.229277,77.188773,8,2,0,0,0,0,4.9,4.9,0,0,0,0,9.8,19.7,0.2,0.1,0.5,0,3.1,2.9,4.3,0,0,0.7,0.1,4.9,4.9,9.8,0,10,11.5,14.8,0,N
